,record,bad,cumulative bad %,cumulative total %,pred_col
0.576,11,4,65.43606206527555,28.74004550625711,prob_Logistic
0.577,5,3,65.59657570893526,28.811149032992034,prob_Logistic
0.578,5,0,65.59657570893526,28.88225255972696,prob_Logistic
0.579,7,2,65.7035848047084,28.98179749715586,prob_Logistic
0.58,7,1,65.75708935259496,29.081342434584755,prob_Logistic
0.581,6,1,65.81059390048154,29.166666666666668,prob_Logistic
0.582,5,2,65.91760299625467,29.23777019340159,prob_Logistic
0.583,7,2,66.02461209202782,29.33731513083049,prob_Logistic
0.584,7,1,66.0781166399144,29.436860068259385,prob_Logistic
0.585,6,2,66.18512573568754,29.522184300341298,prob_Logistic
0.586,6,2,66.29213483146067,29.60750853242321,prob_Logistic
0.587,9,3,66.45264847512038,29.735494880546078,prob_Logistic
0.588,3,0,66.45264847512038,29.77815699658703,prob_Logistic
0.589,5,2,66.55965757089352,29.84926052332196,prob_Logistic
0.59,2,0,66.55965757089352,29.877701934015928,prob_Logistic
0.591,5,4,66.77367576243981,29.948805460750854,prob_Logistic
0.592,3,0,66.77367576243981,29.99146757679181,prob_Logistic
0.593,3,1,66.82718031032637,30.034129692832767,prob_Logistic
0.594,5,1,66.88068485821294,30.10523321956769,prob_Logistic
0.595,3,1,66.93418940609952,30.14789533560865,prob_Logistic
0.596,6,2,67.04119850187266,30.233219567690554,prob_Logistic
0.597,9,1,67.09470304975923,30.36120591581342,prob_Logistic
0.598,8,4,67.30872124130552,30.474971558589303,prob_Logistic
0.599,3,2,67.41573033707866,30.51763367463026,prob_Logistic
0.6,6,2,67.5227394328518,30.602957906712174,prob_Logistic
0.601,10,2,67.62974852862493,30.745164960182024,prob_Logistic
0.602,8,2,67.73675762439807,30.85893060295791,prob_Logistic
0.603,3,0,67.73675762439807,30.90159271899886,prob_Logistic
0.604,4,1,67.79026217228464,30.958475540386804,prob_Logistic
0.605,1,0,67.79026217228464,30.97269624573379,prob_Logistic
0.606,1,1,67.84376672017122,30.986916951080772,prob_Logistic
0.607,9,4,68.0577849117175,31.11490329920364,prob_Logistic
0.608,2,1,68.11128945960407,31.14334470989761,prob_Logistic
0.609,7,4,68.32530765115035,31.242889647326503,prob_Logistic
0.61,4,3,68.48582129481005,31.299772468714448,prob_Logistic
0.611,6,3,68.64633493846976,31.38509670079636,prob_Logistic
0.612,6,1,68.69983948635634,31.47042093287827,prob_Logistic
0.613,8,2,68.80684858212948,31.584186575654154,prob_Logistic
0.614,4,2,68.91385767790263,31.64106939704209,prob_Logistic
0.615,5,1,68.9673622257892,31.712172923777022,prob_Logistic
0.616,3,1,69.02086677367576,31.754835039817976,prob_Logistic
0.617,8,3,69.18138041733548,31.868600682593858,prob_Logistic
0.618,3,2,69.28838951310861,31.91126279863481,prob_Logistic
0.619,8,2,69.39539860888175,32.0250284414107,prob_Logistic
0.62,6,2,69.5024077046549,32.110352673492606,prob_Logistic
0.621,5,0,69.5024077046549,32.18145620022753,prob_Logistic
0.622,2,1,69.55591225254146,32.2098976109215,prob_Logistic
0.623,7,4,69.76993044408775,32.3094425483504,prob_Logistic
0.624,5,2,69.87693953986089,32.38054607508533,prob_Logistic
0.625,6,2,69.98394863563404,32.465870307167236,prob_Logistic
0.626,12,6,70.30497592295345,32.636518771331055,prob_Logistic
0.627,8,5,70.57249866238631,32.750284414106936,prob_Logistic
0.628,7,2,70.67950775815945,32.84982935153584,prob_Logistic
0.629,6,1,70.73301230604602,32.93515358361775,prob_Logistic
0.63,2,1,70.78651685393258,32.96359499431172,prob_Logistic
0.631,9,3,70.9470304975923,33.09158134243459,prob_Logistic
0.632,6,2,71.05403959336543,33.176905574516496,prob_Logistic
0.633,5,2,71.16104868913857,33.24800910125143,prob_Logistic
0.634,5,2,71.26805778491172,33.31911262798635,prob_Logistic
0.635,6,1,71.32156233279828,33.40443686006826,prob_Logistic
0.636,9,3,71.482075976458,33.532423208191126,prob_Logistic
0.637,11,4,71.69609416800428,33.688850967007966,prob_Logistic
0.638,3,1,71.74959871589085,33.73151308304892,prob_Logistic
0.639,2,1,71.80310326377743,33.75995449374289,prob_Logistic
0.64,3,0,71.80310326377743,33.80261660978385,prob_Logistic
0.641,6,2,71.91011235955057,33.887940841865756,prob_Logistic
0.642,9,3,72.07062600321026,34.01592718998862,prob_Logistic
0.643,8,3,72.23113964686998,34.129692832764505,prob_Logistic
0.644,5,1,72.28464419475655,34.20079635949943,prob_Logistic
0.645,4,1,72.33814874264313,34.25767918088737,prob_Logistic
0.646,8,3,72.49866238630284,34.37144482366325,prob_Logistic
0.647,9,3,72.65917602996255,34.49943117178612,prob_Logistic
0.648,7,2,72.76618512573569,34.598976109215016,prob_Logistic
0.649,9,3,72.9266987693954,34.72696245733788,prob_Logistic
0.65,4,0,72.9266987693954,34.78384527872582,prob_Logistic
0.651,5,1,72.98020331728196,34.85494880546075,prob_Logistic
0.652,4,1,73.03370786516854,34.911831626848695,prob_Logistic
0.653,7,3,73.19422150882825,35.01137656427759,prob_Logistic
0.654,7,3,73.35473515248796,35.110921501706486,prob_Logistic
0.655,4,1,73.40823970037454,35.16780432309442,prob_Logistic
